card_id,theme,title_vi,title_en,description_vi,description_en,question_vi,question_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,option_1_label_vi,option_1_label_en,option_1_effects,option_2_label_vi,option_2_label_en,option_2_effects,notes
life_019,career,Đổi nghề vì kiệt sức,Burnout Career Switch,"Bạn nhận ra mình kiệt sức kéo dài, ngủ kém và mất hứng thú với công việc hiện tại.","You realize you have prolonged burnout, poor sleep, and no motivation for your current job.","Bạn sẽ đổi nghề ngay hay đổi dần, và bước nhỏ đầu tiên bạn làm trong 2 tuần tới là gì?","Would you switch immediately or transition gradually, and what is your first small step in the next 2 weeks?",occupation_change,,,,,,,,,,,
life_020,career,Ngành lao dốc,Industry Decline,"Công ty cắt giảm, dự án giảm mạnh và cơ hội trong ngành của bạn ngày càng ít.","Layoffs rise, projects shrink, and opportunities in your industry are drying up.","Bạn sẽ bám ngành hay chuyển hướng, và tiêu chí duy nhất bạn dùng để quyết là gì?","Would you stay in the industry or pivot, and what single criterion would you use to decide?",occupation_change,,,,,,,,,,,
life_021,career,Cơ hội rẽ hướng,Pivot Opportunity,Bạn được rủ tham gia một công việc mới khác ngành nhưng có tiềm năng học nhanh và phát triển.,You are offered a new role in a different field with strong learning and growth potential.,"Bạn cần kiểm tra điều gì trước khi gật đầu, và bạn sẽ hỏi ai để xác nhận?","What do you need to check before saying yes, and who would you ask to validate it?",occupation_change,,,,,,,,,,,
life_022,career,Trách nhiệm gia đình,Family Responsibility Pivot,"Gia đình cần bạn dành nhiều thời gian hơn, công việc hiện tại không còn phù hợp giờ giấc.","Your family needs more of your time, and your current job no longer fits your schedule.","Bạn sẽ thay đổi kiểu công việc như thế nào để vừa lo gia đình vừa giữ thu nhập, nêu một phương án cụ thể.","How would you change your work style to support family while keeping income, name one concrete option.",occupation_change,,,,,,,,,,,
life_023,personal,Bạn bè rủ thử sở thích mới,Friends Invite a New Hobby,"Nhóm bạn rủ bạn thử một sở thích mới, và bạn nhận ra mình có khiếu với bộ môn này!","Friends invite you to try a new hobby, and you're actually really good at it!",Bạn nghĩ mình có khiếu gì?,What do you think you're 'gifted' at?,hobby_choice,,,,,,,,,,,
life_024,personal,Không còn thời gian cho sở thích,No Time for Hobbies,"Công việc và việc nhà dồn dập khiến bạn bỏ sở thích đã lâu, bạn bắt đầu thấy mình “chỉ sống để làm”.","Work and chores pile up and you have dropped your hobby for a long time, you start feeling you only live to work.","Bạn sẽ dành lại thời gian bằng cách cắt gì hoặc đổi thói quen gì, nêu một bước nhỏ trong tuần này.","How would you reclaim time by cutting something or changing a habit, name one small step this week.",hobby_choice,,,,,,,,,,,
life_025,personal,Sở thích quá tốn kém,Hobby Gets Too Expensive,"Sở thích bạn thích bắt đầu tốn nhiều tiền hơn bạn dự tính, dụng cụ và chi phí tăng dần.","Your hobby starts costing more than expected, gear and expenses keep adding up.",Bạn nghĩ mình có sở thích tốn kém nào không?,Do you think you have any expensive hobby?,hobby_choice,,,,,,,,,,,
life_026,personal,Bạn mất hứng giữa chừng,Losing Motivation Halfway,"Bạn đã bắt đầu một sở thích mới nhưng sau vài tuần thì chán, cảm giác không tiến bộ.",You started a new hobby but after a few weeks you feel bored and not improving.,"Bạn sẽ làm gì để tìm lại hứng hoặc đổi hướng hợp lý, nêu một hành động cụ thể.","What would you do to regain motivation or pivot sensibly, name one concrete action.",hobby_choice,,,,,,,,,,,
life_027,personal,Sở thích gây mâu thuẫn ở nhà,Hobby Causes Home Conflict,"Sở thích của bạn làm người trong nhà khó chịu vì tiếng ồn, bừa bộn, hoặc chiếm thời gian.","Your hobby annoys people at home because of noise, mess, or taking too much time.",Bạn sẽ làm gì để vừa tiếp tục sở thích nhưng không làm người trong nhà khó chịu?,What can you do to continue your hobby but also not upset everyone in your home?,hobby_choice,,,,,,,,,,,
life_028,personal,Biến sở thích thành thu nhập,Turning Hobby Into Income,"Một người đề nghị bạn kiếm tiền từ sở thích của mình, nhưng bạn sợ nó sẽ mất vui và thành áp lực.","Someone suggests you monetize your hobby, but you fear it will stop being fun and become pressure.",Nếu có thể kiếm thu nhập từ sở thích thì bạn sẽ chọn sở thích gì? Tại sao?,"If you could make an income fromy our hobby, what hobby would you choose? And why?",hobby_choice,,,,,,,,,,,
life_029,personal,Nhặt được ngoài đường,Found a Stray,Bạn gặp một bé chó/mèo bị bỏ rơi hoặc lạc đường ngay trước cửa nhà và không thể làm ngơ. Bạn có mang về nhà không?,You find an abandoned or lost dog or cat near your home and can’t ignore it. Will you bring them home?,Bạn sẽ làm gì nếu thấy một chú chó/mèo bị bỏ rơi?,What would you do if you found a stray dog/cat?,,,,,,Mang về nhà,Bring them home,set_children:has_pet;money:-2;happiness:+4,Để người khác lo,Let someone else help,,
life_030,personal,Muốn nôi nhưng quá bận,Want to Adopt but Busy,"Bạn rất muốn nhận nuôi, nhưng công việc và lịch đi lại khiến bạn lo không chăm nổi. Bạn có vẫn muốn nuôi không?","You really want to adopt, but work and your schedule make you worry you can’t care properly. Will you still try?",Bạn nghĩ sao về việc nhận nuôi thú cưng?,How do you feel about adopting a pet?,,,,,,Vẫn nhận nuôi,Adopt anyway,set_children:has_pet;money:-2;happiness:+3;health:-1,Đợi khi ổn hơn,Wait until life is steadier,,
life_031,personal,Chi phí bất ngờ khi nhận nuôi,Unexpected Adoption Costs,"Sau khi nhận nuôi, bạn phát hiện chi phí tiêm phòng, triệt sản, và khám bệnh cao hơn bạn nghĩ. Bạn có vẫn muốn nuôi không?","After adopting, you realize vaccination, sterilization, and vet costs are higher than expected. Will you still want to adopt them?",Bạn nghĩ sao về việc nhận nuôi thú cưng?,How do you feel about adopting a pet?,,,,,,Vẫn cố nuôi,Keep caring for them,set_children:has_pet;money:-3;happiness:+2,Tìm nhà phù hợp hơn,Find them another home,,
