space_id,space_type,stage,next_default,title_vi,title_en,question_vi,question_en,desc_war_time_vi,desc_war_time_en,desc_subsidy_vi,desc_subsidy_en,desc_reform_vi,desc_reform_en,desc_digital_native_vi,desc_digital_native_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,option_1_label_vi,option_1_label_en,option_1_next,option_1_effects,option_2_label_vi,option_2_label_en,option_2_next,option_2_effects,option_3_label_vi,option_3_label_en,option_3_next,option_3_effects,notes
10,era_card,,11,Thực tập,Internships,,,Con đường nghề nghiệp thường theo “nghề truyền/đường ổn định”; học việc trực tiếp rất quan trọng.,"Career paths often follow inherited trades or stable routes, and hands-on apprenticeship is very important.",Công việc thường gắn với đơn vị/tập thể; cơ hội đến qua giới thiệu và sự tin cậy.,"Work is often tied to units and the collective, with opportunities coming through referrals and trust.",Thực tập trở thành bước đệm để vào nghề; CV và kinh nghiệm bắt đầu được coi trọng.,"Internships become a stepping stone into a career, and resumes and experience start to matter more.",Thực tập có thể linh hoạt/remote; portfolio và dự án cá nhân đôi khi quan trọng hơn chức danh.,"Internships can be flexible or remote, and portfolios or personal projects can matter more than job titles.",draw:era,experience:+1,experience:+1,experience:+1,experience:+1,,,,,,,,,,,,,Original Description: University Space 5 | Original Action: Draw an ERA card
11,stat,,20,Tốt nghiệp,Graduate!,"Khoảnh khắc “kết thúc một chặng” đáng nhớ nhất của bạn là gì (tốt nghiệp, chuyển nhà, đổi việc…)? Bạn tự chúc mình điều gì lúc đó?","What were the most memorable ""chapter closing"" moment during your youth? How did you self-congratulate then?",“Tốt nghiệp” mang ý nghĩa bước vào trách nhiệm; gia đình đặt nhiều kỳ vọng vào sự trưởng thành.,"“Graduation” signals stepping into responsibility, and families place strong expectations on maturity.",Tốt nghiệp gắn với hướng đi ổn định và tập thể; niềm vui thường giản dị nhưng rất “đáng”.,"Graduation is tied to a stable, collective-oriented path, and the celebration is often simple but deeply meaningful.",Tốt nghiệp mở ra nhiều ngã rẽ; vừa háo hức vừa lo lắng vì phải tự chọn hướng đi.,"Graduation opens many possible paths, bringing both excitement and anxiety because you have to choose your direction yourself.",Tốt nghiệp thường đi kèm nỗi lo “ra đời” và áp lực so sánh; con đường nghề nghiệp khác với những thế hệ trước.,"Graduation often comes with anxiety about “entering adult life” and comparison pressure, and career paths differ from earlier generations.",,experience:+2,experience:+2,experience:+1,experience:+1,,,,,,,,,,,,,Original Description: University Space 6 | Original Action: Stat change
12,stat,,13,Học việc!,Apprenticeship!,"Bạn nghĩ thực tập nên ưu tiên điều gì nhất: học kỹ năng, kiếm tiền, hay tạo quan hệ? Chọn 1 và nói lý do.","What should an internship prioritize most: learning skills, earning money, or building connections? Choose one and say why.","Thực tập chủ yếu là học việc và chứng tỏ mình đáng tin, được người đi trước chỉ dẫn quan trọng hơn tiền.","Internships are mainly about apprenticeship and proving reliability, guidance from seniors matters more than pay.","Thực tập là bước vào nề nếp và tích lũy kinh nghiệm thực tế, quan trọng là làm đúng quy trình và được tập thể ghi nhận.","Internships are about entering a structured routine and gaining practical experience, following procedure and earning collective trust matters.","Thực tập là bàn đạp cơ hội, vừa học kỹ năng vừa tạo quan hệ để mở đường vào nghề và tăng lựa chọn.","Internships are an opportunity lever, combining skill learning and networking to open doors and expand options.","Thực tập cần ra sản phẩm và kỹ năng dùng được ngay, ưu tiên trải nghiệm thực tế, phản hồi nhanh và hồ sơ năng lực rõ.","Internships should produce tangible work and usable skills, prioritizing real experience, fast feedback, and a clear portfolio.",,money:-3,money:-3,money:-2,money:-2,,,,,,,,,,,,,Original Description: Trade School Space 1 | Original Action: Stat change
13,life_card,,14,Cẩn thận!,Be Careful!,,,"Tai nạn thường đến từ điều kiện làm việc rủi ro và thiếu bảo hộ, nên kinh nghiệm và sự cẩn trọng là “hệ thống an toàn” chính.","Injuries often come from risky conditions and limited protection, so experience and caution become the main “safety system.”","Tai nạn hay đến từ lao động nặng và việc lặp lại, nên làm đúng quy trình và để ý tập thể rất quan trọng.","Injuries often come from heavy labor and repetitive tasks, so “follow the steps” and look out for the group matters.","Tai nạn hay đến từ vội và ôm đồm, nên bài toán “nhanh hay an toàn” xuất hiện thường xuyên.","Injuries often come from rushing and taking on too much, so speed vs. safety becomes a constant trade-off.","Tai nạn có thể là thể chất hoặc tinh thần (stress/thiếu ngủ), nên “biết dừng đúng lúc” cũng là một phần của an toàn.","Injuries can be physical or mental (stress/sleep), so “knowing when to stop” becomes part of safety.",draw:life,health:-1,health:-1,health:-1,health:-1,,,,,,,,,,,,,Original Description: Trade School Space 2 | Original Action: Draw a LIFE card
14,stat,,15,Việc làm đầu tiên!,First gig!,"“Việc làm đầu tiên” thực tế nhất với bạn (hoặc người bạn biết) là gì, và bạn muốn học được điều gì nhất trong công việc đầu tiên?","What’s a realistic “first gig” for you (or someone you know), and what would you want to learn from your first job?",Việc đầu thường đến từ gia đình/cộng đồng và việc phụ giúp thực tế. Uy tín quan trọng hơn chức danh.,First jobs often start through family/community and practical help. Reliability matters more than a perfect title.,Việc đầu hay gắn với đơn vị/tổ đội và vai trò ổn định. Kỷ luật và “làm đúng phần mình” được coi trọng.,"Entry work often ties to units/teams and stable roles, where discipline and “doing your part” is valued.",Việc đầu mở rộng sang dịch vụ tư nhân và làm ăn nhỏ. Học nhanh và nắm cơ hội là then chốt.,Entry work expands into private services and small businesses. Learning fast and grabbing chances becomes key.,"Việc đầu có thể là thực tập, làm tự do, việc trên nền tảng, hoặc dự án online. Hồ sơ công việc có thể quan trọng từ sớm.","First gigs may include internships, freelance, platform work, or online projects. Portfolio can matter early.",,experience:+1,experience:+1,experience:+2,experience:+2,,,,,,,,,,,,,Original Description: Trade School Space 3 | Original Action: Stat change
15,era_card,,20,Chứng chỉ hành nghề,Fully Certified!,,,Sự “đủ nghề” thường đến từ tay nghề và tiếng tốt—được người đi trước công nhận là một dạng chứng nhận lớn.,Proof often comes from mastery and reputation—being recognized by elders/mentors is a big credential.,Sự công nhận chính thức và bậc thợ quan trọng—“được ghi nhận” tạo cảm giác chắc chắn và hợp thức.,Formal recognition and ranks matter—being “officially acknowledged” signals stability and legitimacy.,Chứng chỉ trở thành đòn bẩy—kết hợp giấy tờ và trải nghiệm để mở cửa và tăng niềm tin.,Credentials become a lever—certificates plus real experience help open doors and increase trust.,Chứng nhận có thể đa dạng: chứng chỉ ngắn hạn + sản phẩm + đánh giá—bằng chứng nằm ở thứ bạn trưng ra được.,Credentials can be mixed: micro-certificates + portfolio + reviews—proof often lives in what you can show.,draw:era,experience:+1,experience:+1,experience:+1,experience:+1,,,,,,,,,,,,,Original Description: Trade School Space 4 | Original Action: Draw an ERA card
16,stat,,17,Đi làm ngay!,Work Harder Than Others!,"Khi nào “làm tận tâm” là đáng, và khi nào nó bắt đầu có hại? Nêu một nguyên tắc của bạn.","When is working extra hard worth it, and when does it become harmful? Give one personal rule.","Cày nhiều thường gắn với trách nhiệm và sinh tồn—chịu đựng được coi trọng, nghỉ ngơi đứng sau.","Overworking often equals duty and survival—endurance is respected, rest is secondary.",Cày nhiều thể hiện sự đáng tin—làm hơn có thể đồng nghĩa “được tin” trong môi trường tập thể.,Working hard signals reliability—doing more can mean “being trusted” within a collective system.,"Cày nhiều thường gắn với bắt cơ hội—nhanh và tham vọng có thể được thưởng, nhưng cũng nhiều rủi ro.","Overworking often links to seizing opportunity—speed and ambition can be rewarded, but risky.","“Cày” trở nên liên tục và dễ thấy—nhiều nguồn việc song song, nhưng ý thức về kiệt sức cũng cao hơn.","Hustle is visible and constant—people juggle many streams, but burnout awareness is also higher.",,money:+2,money:+2,money:+1,money:+1,,,,,,,,,,,,,Original Description: Work Space 1 | Original Action: Stat change
17,era_card,,18,Cơ hội hạn hẹp,Limited Opportunity,,,“Cơ hội” thường là an toàn và một đường ổn định—được học hoặc có chỗ đứng chắc có thể đổi đời.,Opportunity often means safety and a stable path—education or a secure role can change everything.,“Cơ hội” thường là vị trí chắc chắn và an tâm—“có chỗ” là chuyện rất quan trọng.,Opportunity often means a guaranteed position and security—being “placed well” matters a lot.,"“Cơ hội” mở sang làm ăn và dịch chuyển—vốn, quan hệ và thời điểm bắt đầu quyết định.","Opportunity expands into business and mobility—capital, networks, and timing start to matter.","“Cơ hội” có thể là quyền tiếp cận: internet, nền tảng, học mở—độ lan toả có thể tăng rất nhanh.","Opportunity can be access: internet, platforms, global learning—reach can scale quickly.",draw:era,happiness:-1,happiness:-1,happiness:-2,happiness:-3,,,,,,,,,,,,,Original Description: Work Space 2 | Original Action: Draw an ERA card
18,life_card,,19,Đi sớm về khuya,No Time For Fun,,,"Vui chơi thường giản dị và mang tính chung—nghỉ là xa xỉ, khoảnh khắc cộng đồng thành chỗ thở.","Leisure is often simple and shared—rest is a luxury, community moments become the break.",Niềm vui thường đến từ quây quần—tụ tập và sinh hoạt nhỏ thay cho “thời gian rảnh”.,Fun often comes from togetherness—gatherings and small rituals substitute for “free time.”,Công việc và khát vọng dễ lấn át—cân bằng trở thành điều phải thương lượng khi muốn vươn lên.,Work and ambition can dominate—people negotiate balance while chasing upward mobility.,"Ranh giới mờ đi—làm việc, giải trí và giao tiếp trộn lẫn, nên “tắt đi” khó hơn.","Boundaries blur—work, entertainment, and social life mix, so switching off becomes harder.",draw:life,health:-3,health:-2,health:-2,health:-1,,,,,,,,,,,,,Original Description: Work Space 3 | Original Action: Draw a LIFE card
19,stat,,20,Tháng lương đầu,First Paycheck!,"Lương đầu tiên bạn sẽ ưu tiên gì: phụ gia đình, tiết kiệm, đầu tư cho bản thân, hay tự thưởng? Chọn một và nói vì sao.","What would you do with your first paycheck: support family, save, invest in yourself, or treat yourself? Choose one and say why.",Tiền thường ưu tiên nhu yếu và gia đình—đóng góp là dấu hiệu của trách nhiệm.,Income often goes to essentials and family—contributing is a sign of responsibility.,Tiền thường dồn cho gia đình và thứ khó kiếm—ổn định quan trọng hơn hưởng thụ.,Income often goes to the household and hard-to-get necessities—stability beats luxury.,Tiền hay chia ra: phụ nhà + mua công cụ/học thêm + tự thưởng một chút.,Income may split: help family + invest in tools/learning + a small reward for effort.,"Tiền có thể dành cho thiết bị, dịch vụ, học kỹ năng, hoặc trải nghiệm—chi tiêu linh hoạt nhưng dễ “bay” nhanh.","Income can go to devices, subscriptions, learning, or experiences—spending can be flexible but fast.",,money:+2,money:+2,money:+1,money:+1,,,,,,,,,,,,,Original Description: Work Space 4 | Original Action: Stat change
20,occupation_choice,,21,Chọn nghề nghiệp,Pick an occupation!,"Khi chọn nghề, bạn ưu tiên điều gì nhất từ công việc, và vì sao?","When choosing an occupation, what do you prioritize most from a career, and why?","Nghề phổ biến thường là quân đội, công chức, giáo viên, y tế, nông nghiệp hoặc nghề thủ công; điều tìm kiếm là sự an toàn, danh dự, và làm tròn trách nhiệm với gia đình.","Common jobs often include military service, civil service, teaching, healthcare, farming, or crafts; the main goals are safety, dignity, and fulfilling responsibility to family.","Nghề phổ biến thường gắn với đơn vị và công việc ổn định như công chức, giáo viên, y tế, kỹ thuật, công nhân nhà máy; điều tìm kiếm là ổn định lâu dài, nề nếp rõ ràng, và sự công nhận trong tập thể.","Common jobs often connect to stable roles in organizations such as civil service, teaching, healthcare, engineering, factory work; the main goals are long-term stability, clear structure, and recognition within the collective.","Nghề phổ biến mở rộng sang khu vực tư nhân như kinh doanh nhỏ, bán hàng, dịch vụ, sản xuất, xây dựng, ngân hàng, công việc văn phòng; điều tìm kiếm là cơ hội vươn lên, thu nhập tốt hơn, và “mở cửa” cho lựa chọn mới.","Common jobs expand into the private sector such as small business, sales, services, manufacturing, construction, banking, office roles; the main goals are upward mobility, higher income, and opening new options.","Nghề phổ biến đa dạng và gắn với kỹ năng như công nghệ, thương mại điện tử, truyền thông số, sáng tạo nội dung, làm tự do, công việc dự án; điều tìm kiếm là linh hoạt, phù hợp bản thân, học nhanh, và nhìn thấy kết quả rõ qua sản phẩm.","Common jobs are diverse and skill-driven such as technology, e-commerce, digital media, content creation, freelance and project work; the main goals are flexibility, personal fit, fast learning, and clear results shown through output.",,,,,,,,,,,,,,,,,,Original Description: Pick An Occupation | Original Action: Pick based on education (diploma) and experience
21,optional_choice,,22,Tự thưởng,Self-Reward,"Khi bạn làm được một việc đáng tự hào, bạn thường tự thưởng bằng gì nhất?","When you accomplish something you are proud of, how do you usually reward yourself?","Tự thưởng thường giản dị, ưu tiên trách nhiệm và nhu cầu thiết yếu hơn là hưởng thụ cá nhân.","Self-reward is often modest, prioritizing duty and essentials over personal indulgence.","Tự thưởng thường thực tế và tiết kiệm, hay chọn thứ hữu dụng hoặc để dành cho gia đình.","Self-reward tends to be practical and frugal, often choosing something useful or saving for family.","Tự thưởng rõ hơn như một cách tự động viên, có thể là mua món mình thích hoặc một trải nghiệm nhỏ.","Self-reward becomes more visible as motivation, such as buying something desired or a small experience.","Tự thưởng hay gắn với trải nghiệm và tiện ích nhanh, đôi khi là đồ công nghệ hoặc dịch vụ số.","Self-reward often leans toward experiences and instant convenience, sometimes tech items or digital services.",,,,,,Mình xứng đáng mà!,We deserve it!,22,money:-4;happiness:+4,Để dành tốt hơn!,Better save it!,22,money:+4;happiness:-4,,,,,Original Description: Workplace Experience | Original Action: Stat change
22,optional_choice,,23,Học lên cao,Higher Education,"Nếu có cơ hội học tiếp, bạn sẽ học gì và để làm gì?","If you had the chance to study further, what would you study and what for?","Học lên cao là cơ hội hiếm, thường gắn với danh dự, trách nhiệm và con đường ổn định.","Further study is a rare opportunity, often tied to honor, responsibility, and a stable path.",Học lên cao thường gắn với vị trí ổn định và sự công nhận chính thức trong lộ trình rõ ràng.,Further study is often linked to stable placement and official recognition within a clear track.,"Học lên cao là cách mở cơ hội và vươn lên, bằng cấp được xem như đòn bẩy nghề nghiệp.","Further study is a way to open opportunities and move up, with degrees seen as a career lever.","Học lên cao có nhiều dạng, kể cả học online, ưu tiên kỹ năng áp dụng được và hướng đi linh hoạt.","Further study takes many forms, including online learning, prioritizing usable skills and flexible pathways.",,,,,,Học thêm càng tốt!,Knowledge is power!,23,money:-3;experience:+2,Không cần lắm,Can do without it,23,,,,,,Original Description: Higher Education | Original Action: Stat change (only if have uni degree)
23,life_card,,24,Cả nhà đi chơi!,Family Vacation,,,"Đi chơi thường gần và giản dị, thăm người thân hoặc đi nơi quen, quý nhất là được ở bên nhau.","Outings are often nearby and simple, visiting relatives or familiar places, with togetherness valued most.","Đi chơi thường tiết kiệm và thực tế, hay về quê hoặc hoạt động gắn kết hơn là đi xa.","Trips tend to be budget-conscious and practical, often hometown visits or bonding activities rather than going far.","Đi du lịch phổ biến hơn, có thể dành dụm để đi xa, trải nghiệm mới trở thành kỷ niệm đáng giá.","Travel becomes more common, saving up to go farther, with new experiences becoming valued memories.","Đi chơi gắn với đặt vé nhanh, xem đánh giá, chụp hình và chia sẻ, ưu tiên trải nghiệm “đáng thử”.","Trips are tied to fast booking, reviews, photos, and sharing, prioritizing “worth it” experiences.",draw:life,happiness:+3,happiness:+2,happiness:+1,happiness:+1,,,,,,,,,,,,,Original Description: Family Story | Original Action: Draw a LIFE card
24,stat,,25,Kiệt sức!,Burnout!,"Khi bạn thấy kiệt sức, dấu hiệu đầu tiên của bạn là gì, và bạn thường làm gì để hồi lại?","When you feel burned out, what is your first sign, and what do you do to recover?","Kiệt sức thường bị chịu đựng cho qua, ưu tiên hoàn thành việc trước rồi mới nghỉ.","Burnout is often pushed through, prioritizing finishing duties before resting.","Kiệt sức hay được xử lý bằng kỷ luật và nhịp sinh hoạt, dựa vào gia đình hoặc tập thể để trụ vững.","Burnout is often managed through discipline and routine, leaning on family or the collective to keep going.","Kiệt sức gắn với áp lực làm nhiều và vươn lên, cần học cách cân bằng để tránh quá tải dài hạn.","Burnout links to pressure to work more and move up, requiring balance to avoid long-term overload.","Kiệt sức dễ đến từ trạng thái luôn kết nối và quá tải thông tin, cần ranh giới rõ và nghỉ ngơi thật sự.","Burnout is amplified by always-on connectivity and information overload, needing clear boundaries and real rest.",,health:-4,health:-3,health:-2,health:-2,,,,,,,,,,,,,Original Description: Personal Experience | Original Action: Stat change
