No.,Description,Title,VN Title,Action,Next Space,Common question,War-time Description,War-time Effects,Subsidy Description,Subsidy Effects,Reform Description,Reform Effects,Digital-native Description,Digital-native Effects
10,University Space 5,Internships,Thực tập,Draw an ERA card,11,,Con đường nghề nghiệp thường theo “nghề truyền/đường ổn định”; học việc trực tiếp rất quan trọng.,,Công việc thường gắn với đơn vị/tập thể; cơ hội đến qua giới thiệu và sự tin cậy.,,Thực tập trở thành bước đệm để vào nghề; CV và kinh nghiệm bắt đầu được coi trọng.,,Thực tập có thể linh hoạt/remote; portfolio và dự án cá nhân đôi khi quan trọng hơn chức danh.,
11,University Space 6,Graduate!,Tốt nghiệp,Stat change,20,"Khoảnh khắc “kết thúc một chặng” đáng nhớ nhất của bạn là gì (tốt nghiệp, chuyển nhà, đổi việc…)? Bạn tự chúc mình điều gì lúc đó?",“Tốt nghiệp” mang ý nghĩa bước vào trách nhiệm; gia đình đặt nhiều kỳ vọng vào sự trưởng thành.,,Tốt nghiệp gắn với hướng đi ổn định và tập thể; niềm vui thường giản dị nhưng rất “đáng”.,,Tốt nghiệp mở ra nhiều ngã rẽ; vừa háo hức vừa lo lắng vì phải tự chọn hướng đi.,,Tốt nghiệp thường đi kèm nỗi lo “ra đời” và áp lực so sánh; con đường nghề nghiệp khác với những thế hệ trước.,
12,Trade School Space 1,Apprenticeship!,Học việc!,Stat change,13,"Bạn nghĩ thực tập nên ưu tiên điều gì nhất: học kỹ năng, kiếm tiền, hay tạo quan hệ? Chọn 1 và nói lý do.",,,,,,,,
13,Trade School Space 2,Be Careful!,Cẩn thận!,Draw a LIFE card,14,,,,,,,,,
14,Trade School Space 3,First gig!,Việc làm đầu tiên!,Stat change,15,,,,,,,,,
15,Trade School Space 4,Fully Certified!,Chứng chỉ hành nghề,Draw an ERA card,20,,,,,,,,,
16,Work Space 1,Work Harder Than Others!,Đi làm ngay!,Stat change,17,,,,,,,,,
17,Work Space 2,Limited Opportunity,Cơ hội hạn hẹp,Draw an ERA card,18,,,,,,,,,
18,Work Space 3,No Time For Fun,Đi sớm về khuya,Draw a LIFE card,19,,,,,,,,,
19,Work Space 4,First Paycheck!,Tháng lương đầu,Stat change,20,,,,,,,,,
20,Pick An Occupation,,Chọn nghề nghiệp,Pick based on education (diploma) and experience,21,,,,,,,,,
21,Workplace Experience,Self-Reward,Tự thưởng,Stat change,22,,,,,,,,,
22,Higher Education,Higher Education,Học lên cao,Stat change (only if have uni degree),23,,,,,,,,,
23,Family Story,Family Vacation,Hoạt động gia đình,Draw a LIFE card,24,,,,,,,,,
24,Personal Experience,Burnout!,Kiệt sức!,Stat change,25,,,,,,,,,
25,Pick Housing Route,,Ngã rẽ nhà ở,Pick based on income available,"Depends on choice (26 - Buy, 30 - Rent, or 34 - Move in)",,,,,,,,,
26,Buy Space 1,Buying a home,Đi mua nhà,Stat change,27,,,,,,,,,
27,Buy Space 2,Real Estate Market,Bất động sản bất ổn,Draw an ERA card,28,,,,,,,,,
28,Buy Space 3,Fixer Upper,Nhà xuống cấp,Stat change,29,,,,,,,,,
29,Buy Space 4,Debt Pressure,Áp lực nợ,Draw a LIFE card,38,,,,,,,,,
30,Rent Space 1,Renting,Đi thuê nhà,Stat change,31,,,,,,,,,
31,Rent Space 2,Still Exploring,Chưa ổn định,Draw an ERA card,32,,,,,,,,,
32,Rent Space 3,Housemates & Landlord Conflicts,Mâu thuẫn khi ở thuê,Stat change,33,,,,,,,,,
33,Rent Space 4,Here Today Gone Tomorrow,Nay đây mai đó,Draw a LIFE card,38,,,,,,,,,
34,Move In Space 1,Move back in,Ở với gia đình,Stat change,35,,,,,,,,,
35,Move In Space 2,Full House!,Nhà đông người!,Draw a LIFE card,36,,,,,,,,,
36,Move In Space 3,Great Savings!,Nhiều thời gian rảnh,Draw a LIFE card,37,,,,,,,,,
37,Move In Space 4,No Independence,Thiếu tự do riêng,Stat change,38,,,,,,,,,
38,Mid-life Reality Check,Pick a hobby!,Chọn sở thích!,Pick from list,39,,,,,,,,,
39,Era Event,Tides of Change,Biến đổi xã hội,Draw an ERA card,40,,,,,,,,,
40,Occupation Change,Change of Occupation,Đổi việc,Pick based on education (diploma) and experience,41,,,,,,,,,
41,Spirituality,Belief and Faith,Tín ngưỡng,Stat change,42,,,,,,,,,
42,Life Event,Mid-Life Crisis,Khủng hoảng tuổi trung niên,Draw a LIFE card,43,,,,,,,,,
43,Promotion?,Career Moving Up!,Lên chức!,Stat change,44,,,,,,,,,
44,Relationship Status,To date or not to date?,Hẹn hò hay không?,Pick relationship status,Depends on choice (45 - Single or 53 - Dating),,,,,,,,,
45,Single Space 1,Single but won't Mingle,Độc thân vui tính,Stat change,47,,,,,,,,,
47,Single Space 2,Keeping Myself Company,Tự bầu bạn,Draw a LIFE card,48,,,,,,,,,
48,Single Space 3,Other priorities,Những ưu tiên khác,Stat change,49,,,,,,,,,
49,Single Space 4,The World of Single People,Thế giới của người độc thân,Draw an ERA card,50,,,,,,,,,
50,Single Space 5,Concerned Family,Gia đình lo lắng,Stat change,52,,,,,,,,,
52,Single Space 6,Happy By Myself!,Một mình vẫn ổn!,Draw a LIFE card,65,,,,,,,,,
53,Dating Space 1,Plenty of Fish,Rơi vào lưới tình,Stat change,54,,,,,,,,,
54,Dating Space 2,They're The One!,Gặp đúng người!,Stat change,55,,,,,,,,,
55,Dating Space 3,Tying the Knot!,Về chung một nhà!,Stat change,56,,,,,,,,,
56,Children Status?,Do you want kids?,Ngã rẽ con cái,Pick children preference,Depends on choice (57 - No kids or 61 - With kids),,,,,,,,,
57,Child-free Space 1,It's Just Us!,Chỉ có hai ta!,Stat change,58,,,,,,,,,
58,Child-free Space 2,What Else To Do...,Mỗi ngày một niềm vui,Draw a LIFE card,59,,,,,,,,,
59,Child-free Space 3,Get a Pet!,Nuôi thú cưng,Stat change,60,,,,,,,,,
60,Child-free Space 4,Planning Ahead!,Lên kế hoạch trước!,Draw an ERA card,65,,,,,,,,,
61,With Child Space 1,It Takes A Village!,Con đàn cháu đống,Stat change,62,,,,,,,,,
62,With Child Space 2,A Small Fortune,Tốn một gia tài,Draw an ERA card,63,,,,,,,,,
63,With Child Space 3,They Grow Up So Fast,Tre già măng mọc,Draw a LIFE card,64,,,,,,,,,
64,With Child Space 4,Leaving the Nest,Chim rời tổ,Stat change,65,,,,,,,,,
65,Retirement!,,Nghỉ hưu thôi!,No more income,66,,,,,,,,,
66,Personal Life,Find a Hobby!,Tìm sở thích!,Stat change,67,,,,,,,,,
67,Society,Retirement Scheme?,Lương hưu tính sao?,Draw an ERA card,68,,,,,,,,,
68,People,Who's in your life?,Ai còn bên bạn?,Stat change,69,,,,,,,,,
69,Health,Medical Scare!,Báo động sức khoẻ!,Draw a LIFE card,70,,,,,,,,,
70,Reflection,Life Achievements?,Thành tụu cuộc đời,Stat change,71,,,,,,,,,
71,END,,Kết thúc,"Game ends here, wait for all players to reach",END,,,,,,,,,
