card_id,title_vi,title_en,description_vi,description_en,question_vi,question_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,notes
era_011,Làn sóng đổi công nghệ,Tech Leap,"Một công nghệ mới trở nên phổ biến rất nhanh, cách làm việc và giao tiếp thay đổi.",A new technology spreads quickly and changes how people work and communicate.,"Bạn sẽ học gì đầu tiên để theo kịp, và bạn học bằng cách nào?","What would you learn first to keep up, and how would you learn it?",,experience:-2,experience:-1,experience:+1,experience:+2,
era_012,Thiếu hụt hàng hóa,Supply Shortage,"Một số mặt hàng bỗng khan hiếm trong thời gian ngắn, mua gì cũng khó hơn.",Some goods suddenly become scarce for a short period and shopping gets harder.,"Bạn sẽ dự trữ gì, và bạn sẽ chia sẻ hay giữ riêng ra sao?","What would you stock up on, and how would you decide to share or keep it?",,money:-1,money:-2,money:-2,money:-3,
era_013,Đợt tăng giá nhiên liệu,Fuel Price Shock,"Giá xăng tăng mạnh, chi phí đi lại và vận chuyển kéo theo nhiều thứ tăng.",Fuel prices jump and transportation costs push many other prices up.,Bạn sẽ thay đổi thói quen đi lại như thế nào trong tuần này?,How would you change your travel habits this week?,,money:-3,money:-3,money:-2,money:-2,
era_014,Cải cách giáo dục,Education Reform,"Chương trình học hoặc cách thi thay đổi, học sinh và phụ huynh phải thích nghi.",Curriculum or exam formats change and students and parents must adapt.,"Bạn sẽ ưu tiên giúp ai thích nghi, và bạn làm một việc gì cụ thể?","Who would you prioritize helping adapt, and what one concrete thing would you do?",,experience:+1,experience:+1,experience:+2,experience:+2,
era_015,Khủng hoảng y tế cộng đồng,Public Health Scare,Một đợt bệnh lan rộng khiến mọi người hạn chế tụ tập và thay đổi thói quen.,A health scare spreads and people limit gatherings and change routines.,Bạn sẽ đặt ra 2 quy tắc an toàn nào cho gia đình hoặc nhóm của bạn?,What two safety rules would you set for your family or group?,,health:-3,health:-2,health:-1,health:-1,
era_016,Thiên tai lớn,Major Natural Disaster,"Một trận thiên tai làm gián đoạn điện nước, đi lại, và sinh hoạt trong khu vực.","A major disaster disrupts power, water, transport, and daily life in an area.",Bạn sẽ ưu tiên chuẩn bị 3 thứ gì trước khi chuyện xấu xảy ra?,What three things would you prioritize preparing before things go wrong?,,health:-3,health:-2,health:-1,health:-1,
era_017,Siết quy định thị trường nhà đất,Housing Policy Shift,"Quy định về mua bán nhà đất thay đổi, thị trường nóng lạnh thất thường.",Housing rules shift and the market swings quickly.,"Bạn sẽ hoãn mua, chuyển sang thuê, hay tìm phương án khác, và vì sao?","Would you delay buying, switch to renting, or choose another option, and why?",,money:+2,money:+1,money:-1,money:-2,
era_018,Bùng nổ làm việc từ xa,Remote Work Shift,"Nhiều nơi chuyển sang làm việc từ xa hoặc linh hoạt, nếp sống đổi theo.","Many workplaces shift to remote or flexible work, changing daily routines.",Bạn sẽ tổ chức góc làm việc tại nhà như thế nào để không kiệt sức?,How would you set up your home work routine to avoid burnout?,,experience:-2,experience:-1,experience:+1,experience:+2,
era_019,Chuyển dịch thanh toán số,Cashless Push,"Thanh toán điện tử trở nên phổ biến, nhiều dịch vụ ưu tiên quét mã và chuyển khoản.",Digital payments become common and many services prefer scanning and transfers.,Bạn sẽ học hoặc dạy người thân làm 1 thao tác nào để tiện nhất?,What one action would you learn or teach a family member to make it easier?,,happiness:-2,happiness:-1,happiness:+1,happiness:+2,
era_020,Thay đổi thuật toán mạng xã hội,Social Media Algorithm Change,"Nội dung bạn thấy trên mạng thay đổi đột ngột, lan truyền và chú ý cũng đổi.","What you see online shifts suddenly as algorithms change, reshaping attention and reach.",Bạn sẽ thay đổi cách dùng mạng như thế nào để bớt bị cuốn theo?,How would you change your online habits to avoid being pulled in?,,experience:-2,experience:-1,experience:+1,experience:+2,
era_021,Làn sóng di chuyển lên thành phố,Urban Migration Wave,"Nhiều người rời quê lên thành phố tìm việc, giá thuê và cạnh tranh tăng.","Many people move to cities for work, rent and competition rise.","Bạn sẽ chọn ở lại hay đi, và bạn cân nhắc 1 yếu tố quan trọng nhất là gì?","Would you stay or move, and what single factor matters most?",,money:+2,money:+1,money:-1,money:-2,
era_022,Mở tuyến giao thông mới,New Transit Opens,"Một tuyến đường hoặc phương tiện công cộng mới mở, việc đi lại và cơ hội thay đổi.","A new road or transit line opens, changing commutes and opportunities.",Bạn sẽ tận dụng thay đổi này ra sao để cải thiện cuộc sống hằng ngày?,How would you use this change to improve your daily life?,,happiness:+1,happiness:+1,happiness:+2,happiness:+2,
